type,date,close
golf,2011-09-01T00:00:00Z,13
golf,2011-10-01T00:00:00Z,10
golf,2011-11-01T00:00:00Z,9
golf,2011-12-01T00:00:00Z,9
golf,2012-01-01T00:00:00Z,9
golf,2012-02-01T00:00:00Z,11
golf,2012-03-01T00:00:00Z,14
golf,2012-04-01T00:00:00Z,17
golf,2012-05-01T00:00:00Z,17
golf,2012-06-01T00:00:00Z,22
golf,2012-07-01T00:00:00Z,19
golf,2012-08-01T00:00:00Z,16
golf,2012-09-01T00:00:00Z,13
golf,2012-10-01T00:00:00Z,9
golf,2012-11-01T00:00:00Z,8
golf,2012-12-01T00:00:00Z,8
golf,2013-01-01T00:00:00Z,9
golf,2013-02-01T00:00:00Z,10
golf,2013-03-01T00:00:00Z,12
golf,2013-04-01T00:00:00Z,15
golf,2013-05-01T00:00:00Z,16
golf,2013-06-01T00:00:00Z,19
golf,2013-07-01T00:00:00Z,17
golf,2013-08-01T00:00:00Z,17
golf,2013-09-01T00:00:00Z,12
golf,2013-10-01T00:00:00Z,9
golf,2013-11-01T00:00:00Z,7
golf,2013-12-01T00:00:00Z,7
golf,2014-01-01T00:00:00Z,8
golf,2014-02-01T00:00:00Z,9
golf,2014-03-01T00:00:00Z,11
golf,2014-04-01T00:00:00Z,14
golf,2014-05-01T00:00:00Z,15
golf,2014-06-01T00:00:00Z,17
golf,2014-07-01T00:00:00Z,16
golf,2014-08-01T00:00:00Z,16
golf,2014-09-01T00:00:00Z,11
golf,2014-10-01T00:00:00Z,9
golf,2014-11-01T00:00:00Z,7
golf,2014-12-01T00:00:00Z,7
golf,2015-01-01T00:00:00Z,8
golf,2015-02-01T00:00:00Z,9
golf,2015-03-01T00:00:00Z,11
golf,2015-04-01T00:00:00Z,15
golf,2015-05-01T00:00:00Z,14
golf,2015-06-01T00:00:00Z,18
golf,2015-07-01T00:00:00Z,18
golf,2015-08-01T00:00:00Z,16
golf,2015-09-01T00:00:00Z,12
golf,2015-10-01T00:00:00Z,9
golf,2015-11-01T00:00:00Z,7
golf,2015-12-01T00:00:00Z,7
golf,2016-01-01T00:00:00Z,8
golf,2016-02-01T00:00:00Z,10
golf,2016-03-01T00:00:00Z,12
golf,2016-04-01T00:00:00Z,15
golf,2016-05-01T00:00:00Z,15
golf,2016-06-01T00:00:00Z,17
golf,2016-07-01T00:00:00Z,16
golf,2016-08-01T00:00:00Z,15
golf,2016-09-01T00:00:00Z,11
golf,2016-10-01T00:00:00Z,9
golf,2016-11-01T00:00:00Z,8
golf,2016-12-01T00:00:00Z,8
golf,2017-01-01T00:00:00Z,8
golf,2017-02-01T00:00:00Z,10
golf,2017-03-01T00:00:00Z,11
golf,2017-04-01T00:00:00Z,14
golf,2017-05-01T00:00:00Z,14
golf,2017-06-01T00:00:00Z,17
golf,2017-07-01T00:00:00Z,17
golf,2017-08-01T00:00:00Z,15
golf,2017-09-01T00:00:00Z,12
golf,2017-10-01T00:00:00Z,10
golf,2017-11-01T00:00:00Z,8
golf,2017-12-01T00:00:00Z,8
golf,2018-01-01T00:00:00Z,9
golf,2018-02-01T00:00:00Z,10
golf,2018-03-01T00:00:00Z,12
golf,2018-04-01T00:00:00Z,15
golf,2018-05-01T00:00:00Z,15
golf,2018-06-01T00:00:00Z,18
golf,2018-07-01T00:00:00Z,18
golf,2018-08-01T00:00:00Z,16
golf,2018-09-01T00:00:00Z,13
golf,2018-10-01T00:00:00Z,9
golf,2018-11-01T00:00:00Z,8
golf,2018-12-01T00:00:00Z,8
golf,2019-01-01T00:00:00Z,8
golf,2019-02-01T00:00:00Z,10
golf,2019-03-01T00:00:00Z,12
golf,2019-04-01T00:00:00Z,15
golf,2019-05-01T00:00:00Z,15
golf,2019-06-01T00:00:00Z,19
golf,2019-07-01T00:00:00Z,17
golf,2019-08-01T00:00:00Z,16
golf,2019-09-01T00:00:00Z,11
golf,2019-10-01T00:00:00Z,9
golf,2019-11-01T00:00:00Z,8
golf,2019-12-01T00:00:00Z,7
football,2004-01-01T00:00:00Z,12
football,2004-02-01T00:00:00Z,10
football,2004-03-01T00:00:00Z,7
football,2004-04-01T00:00:00Z,8
football,2004-05-01T00:00:00Z,8
football,2004-06-01T00:00:00Z,9
football,2004-07-01T00:00:00Z,12
football,2004-08-01T00:00:00Z,24
football,2004-09-01T00:00:00Z,37
football,2004-10-01T00:00:00Z,30
football,2004-11-01T00:00:00Z,28
football,2004-12-01T00:00:00Z,18
football,2005-01-01T00:00:00Z,14
football,2005-02-01T00:00:00Z,10
football,2005-03-01T00:00:00Z,7
football,2005-04-01T00:00:00Z,9
football,2005-05-01T00:00:00Z,8
football,2005-06-01T00:00:00Z,8
football,2005-07-01T00:00:00Z,12
football,2005-08-01T00:00:00Z,25
football,2005-09-01T00:00:00Z,42
football,2005-10-01T00:00:00Z,35
football,2005-11-01T00:00:00Z,31
football,2005-12-01T00:00:00Z,19
football,2006-01-01T00:00:00Z,15
football,2006-02-01T00:00:00Z,9
football,2006-03-01T00:00:00Z,7
football,2006-04-01T00:00:00Z,8
football,2006-05-01T00:00:00Z,9
football,2006-06-01T00:00:00Z,10
football,2006-07-01T00:00:00Z,13
football,2006-08-01T00:00:00Z,27
football,2006-09-01T00:00:00Z,48
football,2006-10-01T00:00:00Z,37
football,2006-11-01T00:00:00Z,34
football,2006-12-01T00:00:00Z,21
football,2007-01-01T00:00:00Z,15
football,2007-02-01T00:00:00Z,9
football,2007-03-01T00:00:00Z,7
football,2007-04-01T00:00:00Z,8
football,2007-05-01T00:00:00Z,8
football,2007-06-01T00:00:00Z,9
football,2007-07-01T00:00:00Z,13
football,2007-08-01T00:00:00Z,28
football,2007-09-01T00:00:00Z,51
football,2007-10-01T00:00:00Z,39
football,2007-11-01T00:00:00Z,36
football,2007-12-01T00:00:00Z,22
football,2008-01-01T00:00:00Z,15
football,2008-02-01T00:00:00Z,9
football,2008-03-01T00:00:00Z,8
football,2008-04-01T00:00:00Z,8
football,2008-05-01T00:00:00Z,8
football,2008-06-01T00:00:00Z,9
football,2008-07-01T00:00:00Z,13
football,2008-08-01T00:00:00Z,29
football,2008-09-01T00:00:00Z,46
football,2008-10-01T00:00:00Z,36
football,2008-11-01T00:00:00Z,38
football,2008-12-01T00:00:00Z,22
football,2009-01-01T00:00:00Z,14
football,2009-02-01T00:00:00Z,10
football,2009-03-01T00:00:00Z,8
football,2009-04-01T00:00:00Z,8
football,2009-05-01T00:00:00Z,8
football,2009-06-01T00:00:00Z,9
football,2009-07-01T00:00:00Z,12
football,2009-08-01T00:00:00Z,26
football,2009-09-01T00:00:00Z,52
football,2009-10-01T00:00:00Z,41
football,2009-11-01T00:00:00Z,39
football,2009-12-01T00:00:00Z,25
football,2010-01-01T00:00:00Z,17
football,2010-02-01T00:00:00Z,10
football,2010-03-01T00:00:00Z,8
football,2010-04-01T00:00:00Z,9
football,2010-05-01T00:00:00Z,8
football,2010-06-01T00:00:00Z,11
football,2010-07-01T00:00:00Z,13
football,2010-08-01T00:00:00Z,26
football,2010-09-01T00:00:00Z,54
football,2010-10-01T00:00:00Z,43
football,2010-11-01T00:00:00Z,41
football,2010-12-01T00:00:00Z,25
football,2011-01-01T00:00:00Z,20
football,2011-02-01T00:00:00Z,11
football,2011-03-01T00:00:00Z,8
football,2011-04-01T00:00:00Z,9
football,2011-05-01T00:00:00Z,8
football,2011-06-01T00:00:00Z,9
football,2011-07-01T00:00:00Z,14
football,2011-08-01T00:00:00Z,30
football,2011-09-01T00:00:00Z,63
football,2011-10-01T00:00:00Z,55
football,2011-11-01T00:00:00Z,51
football,2011-12-01T00:00:00Z,29
football,2012-01-01T00:00:00Z,20
football,2012-02-01T00:00:00Z,12
football,2012-03-01T00:00:00Z,9
football,2012-04-01T00:00:00Z,10
football,2012-05-01T00:00:00Z,9
football,2012-06-01T00:00:00Z,10
football,2012-07-01T00:00:00Z,14
football,2012-08-01T00:00:00Z,33
football,2012-09-01T00:00:00Z,70
football,2012-10-01T00:00:00Z,53
football,2012-11-01T00:00:00Z,50
football,2012-12-01T00:00:00Z,29
football,2013-01-01T00:00:00Z,19
football,2013-02-01T00:00:00Z,11
football,2013-03-01T00:00:00Z,9
football,2013-04-01T00:00:00Z,9
football,2013-05-01T00:00:00Z,9
football,2013-06-01T00:00:00Z,10
football,2013-07-01T00:00:00Z,14
football,2013-08-01T00:00:00Z,38
football,2013-09-01T00:00:00Z,71
football,2013-10-01T00:00:00Z,55
football,2013-11-01T00:00:00Z,55
football,2013-12-01T00:00:00Z,33
football,2014-01-01T00:00:00Z,20
football,2014-02-01T00:00:00Z,11
football,2014-03-01T00:00:00Z,8
football,2014-04-01T00:00:00Z,9
football,2014-05-01T00:00:00Z,10
football,2014-06-01T00:00:00Z,11
football,2014-07-01T00:00:00Z,14
football,2014-08-01T00:00:00Z,40
football,2014-09-01T00:00:00Z,68
football,2014-10-01T00:00:00Z,59
football,2014-11-01T00:00:00Z,62
football,2014-12-01T00:00:00Z,35
football,2015-01-01T00:00:00Z,24
football,2015-02-01T00:00:00Z,12
football,2015-03-01T00:00:00Z,9
football,2015-04-01T00:00:00Z,9
football,2015-05-01T00:00:00Z,9
football,2015-06-01T00:00:00Z,10
football,2015-07-01T00:00:00Z,13
football,2015-08-01T00:00:00Z,33
football,2015-09-01T00:00:00Z,84
football,2015-10-01T00:00:00Z,68
football,2015-11-01T00:00:00Z,64
football,2015-12-01T00:00:00Z,35
football,2016-01-01T00:00:00Z,26
football,2016-02-01T00:00:00Z,13
football,2016-03-01T00:00:00Z,9
football,2016-04-01T00:00:00Z,10
football,2016-05-01T00:00:00Z,10
football,2016-06-01T00:00:00Z,10
football,2016-07-01T00:00:00Z,13
football,2016-08-01T00:00:00Z,32
football,2016-09-01T00:00:00Z,87
football,2016-10-01T00:00:00Z,76
football,2016-11-01T00:00:00Z,65
football,2016-12-01T00:00:00Z,38
football,2017-01-01T00:00:00Z,25
football,2017-02-01T00:00:00Z,12
football,2017-03-01T00:00:00Z,9
football,2017-04-01T00:00:00Z,10
football,2017-05-01T00:00:00Z,9
football,2017-06-01T00:00:00Z,10
football,2017-07-01T00:00:00Z,14
football,2017-08-01T00:00:00Z,33
football,2017-09-01T00:00:00Z,88
football,2017-10-01T00:00:00Z,73
football,2017-11-01T00:00:00Z,74
football,2017-12-01T00:00:00Z,43
football,2018-01-01T00:00:00Z,25
football,2018-02-01T00:00:00Z,12
football,2018-03-01T00:00:00Z,9
football,2018-04-01T00:00:00Z,10
football,2018-05-01T00:00:00Z,9
football,2018-06-01T00:00:00Z,11
football,2018-07-01T00:00:00Z,15
football,2018-08-01T00:00:00Z,38
football,2018-09-01T00:00:00Z,100
football,2018-10-01T00:00:00Z,72
football,2018-11-01T00:00:00Z,73
football,2018-12-01T00:00:00Z,44
football,2019-01-01T00:00:00Z,24
football,2019-02-01T00:00:00Z,13
football,2019-03-01T00:00:00Z,9
football,2019-04-01T00:00:00Z,10
football,2019-05-01T00:00:00Z,10
football,2019-06-01T00:00:00Z,10
football,2019-07-01T00:00:00Z,14
football,2019-08-01T00:00:00Z,44
football,2019-09-01T00:00:00Z,93
football,2019-10-01T00:00:00Z,73
football,2019-11-01T00:00:00Z,77
football,2019-12-01T00:00:00Z,58
